OrderID,OrderDate,ProductID,CustomerID,ProvinceID,Province,Quantity,UnitPrice,Discount
1001,2023-04-07,P007,C0210,101,Buenos Aires,14,231911.86,0.05
1002,2023-01-19,P004,C0825,101,Buenos Aires,11,742631.06,0.05
1003,2024-02-19,P026,C1444,102,Ciudad Autónoma de Buenos Aires,7,135812.06,0.2
1004,2024-11-05,P022,C0394,102,Ciudad Autónoma de Buenos Aires,1,516209.74,0.2
1005,2023-09-15,P030,C0861,103,Catamarca,4,237563.25,0.05
1006,2024-07-01,P006,C0240,103,Catamarca,12,148982.3,0.05
1007,2024-01-28,P018,C0486,104,Chaco,8,287184.46,0.1
1008,2023-09-15,P017,C1171,104,Chaco,8,135727.92,0.05
1009,2024-10-08,P003,C0704,105,Chubut,4,66551.76,0.0
1010,2023-08-11,P012,C0281,105,Chubut,9,8192.01,0.05
1011,2025-03-28,P002,C0293,106,Córdoba,4,227229.32,0.15
1012,2024-04-23,P006,C1427,106,Córdoba,12,156823.47,0.0
1013,2025-04-15,P022,C1361,107,Corrientes,11,645262.17,0.0
1014,2023-09-10,P020,C0691,107,Corrientes,14,516508.85,0.05
1015,2023-09-18,P005,C0258,108,Entre Ríos,4,285299.25,0.0
1016,2025-09-28,P012,C0127,108,Entre Ríos,10,8192.01,0.05
1017,2025-02-05,P017,C0730,109,Formosa,15,114297.19,0.2
1018,2025-10-17,P021,C1278,109,Formosa,1,778821.74,0.15
1019,2023-05-15,P012,C1142,110,Jujuy,10,8192.01,0.05
1020,2023-10-15,P010,C0638,110,Jujuy,7,760255.38,0.05
1021,2023-10-20,P012,C0660,111,La Pampa,6,8623.17,0.0
1022,2023-09-23,P013,C1277,111,La Pampa,14,36031.15,0.0
1023,2025-04-24,P007,C0306,112,La Rioja,4,244117.75,0.0
1024,2024-05-24,P003,C0534,112,La Rioja,10,53241.41,0.2
1025,2024-07-20,P015,C1479,113,Mendoza,8,930127.8,0.0
1026,2024-05-30,P024,C0624,113,Mendoza,12,64632.45,0.2
1027,2023-09-16,P021,C0228,114,Misiones,7,916260.87,0.0
1028,2024-01-03,P030,C0534,114,Misiones,15,250066.58,0.0
1029,2024-07-13,P009,C0148,115,Neuquén,2,73225.76,0.0
1030,2024-01-27,P028,C0431,115,Neuquén,10,297088.22,0.1
1031,2025-03-24,P003,C1423,116,Río Negro,10,59896.58,0.1
1032,2024-07-14,P024,C1308,116,Río Negro,3,76751.03,0.05
